symbol,inputdata,revenuedata
532,-0.1259,0.07239
532,0.01779,0.16577
532,-0.22291,0.08006
533,0.07996,0.00241
533,-0.0172,-0.0579
533,-0.11897,0.22736
533,-0.08649,0.0133
533,-0.06909,-0.03275
533,-0.04912,0.00612
533,0.25494,-0.19681
533,0.0296,0.08226
533,-0.09316,5.37629
534,0.06377,9.13708
534,-0.01304,7.77767
534,0.37382,0.10028
534,0.04055,0.45012
534,-0.02655,-0.10162
534,0.54876,0.65533
534,-0.0912,-0.05343
534,0.28767,-0.84705
534,-0.07063,106.99396
536,-0.16699,0.26907
536,-0.08759,0.24591
536,0.09958,-0.63128
536,0.01607,-1
536,0.18807,-0.14726
536,0.13626,0.27463
536,0.02691,-0.09668
536,-0.18468,-0.11933
536,0.10243,-0.111
536,-0.51665,0.0182
537,0.29383,64.93577
537,0.15373,-0.24992
537,-0.21759,0.6822
537,-0.11241,-0.36116
537,0.33775,4.29026
537,-0.03676,-0.38305
537,-0.21809,0.36493
544,0.00263,-0.45704
544,0.0136,-0.52045
544,0.12909,-0.62287
544,0.07213,-0.57754
544,-0.0117,-1
544,0.03501,-0.65024
544,-0.05226,-0.54206
544,0.09568,2.12855
544,-0.08509,0.11314
545,-0.06778,0.00664
545,-0.05805,0.46586
545,0.31225,-0.22452
545,0.14853,0.49392
545,0.09681,20.33355
545,0.15833,0.20969
545,-0.21103,0.00166
545,-0.19418,0.01131
545,-0.04624,-0.0931
546,0.30218,-0.79299
546,-0.00977,-0.48119
546,0.05488,0.21294
546,-0.05226,-0.98129
546,0.05272,4.49417
546,0.16166,3.5208
546,-0.03789,-1
546,0.04366,3.73304
546,-0.01233,-1
546,-0.02229,5.07463
546,-0.0091,4.61168
547,-0.1912,0.53685
547,-0.07953,0.18379
547,0.15007,-1
547,0.11394,0.44863
547,-0.23058,0.40584
547,0.29817,-0.24584
547,-0.06373,-1
547,-0.0892,0.77321
547,0.20767,0.2813
547,-0.04196,0.13578
547,-0.20216,0.1069
548,0.17797,-0.03294
548,-0.08519,0.01051
548,-0.12677,0.04291
548,0.20629,-0.06808
548,0.07987,0.38521
548,0.04753,-0.01565
548,0.01331,-0.10212
548,-0.09754,0.16286
548,-0.03353,16.8758
550,0.03715,0.18852
550,0.28912,0.1527
550,-0.07686,-0.04932
550,-0.20365,-0.05928
550,0.01706,-0.02673
550,0.15989,-0.01715
550,-0.0863,-0.11199
550,0.04538,0.02392
550,-0.20762,-0.07907
551,-0.16945,0.08127
551,0.01392,0.12663
551,0.03843,0.07107
551,-0.29101,-0.00779
551,0.10981,0.08134
551,0.04332,0.02073
551,-0.07296,-0.02861
551,0.06268,0.04639
551,-0.06559,0.07019
552,0.41034,0.27566
552,0.04404,0.15925
552,-0.00414,0.09291
552,0.16293,-0.2063
552,-0.40402,-0.13207
552,0.0604,-0.04241
552,0.04143,0.08689
552,-0.57301,-0.36938
552,0.00413,-0.21932
552,-0.11902,-1
553,-0.25118,-0.11217
553,0.01175,0.11073
553,-0.00275,0.18361
553,0.09211,0.22779
553,0.16486,0.41767
553,-0.10386,0.121
553,0.03717,-1
553,-0.11423,0.22577
553,-0.01343,-1
553,-0.04702,0.10388
553,0.04356,0.23487
554,-0.25193,0.68297
554,0.03346,0.12359
554,0.16666,0.13704
